,ATTRIBUTE 1,ATTRIBUTE 2,ATTRIBUTE 3,ATTRIBUTE 4,ATTRIBUTE 5,ATTRIBUTE 6,ATTRIBUTE 7,ATTRIBUTE 8,ATTRIBUTE 9,ATTRIBUTE 10,ATTRIBUTE 11,ATTRIBUTE 12,Average
0,0.9979166666666667,1.0,1.0,1.0,0.9979166666666667,1.0,1.0,1.0,1.0,0.9937499999999999,1.0,0.9979166666666667,0.9989583333333334
1,0.7886363636363636,0.7681818181818182,0.6931818181818181,0.7136363636363636,0.8590909090909091,0.95,0.95,0.8590909090909091,0.9295454545454545,0.6477272727272727,0.975,0.8340909090909091,0.8306818181818182
2,0.75,0.6499999999999999,0.825,0.65,0.8,0.9,0.95,0.875,0.725,0.8,1.0,0.8,0.8104166666666668
3,0.9958333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979166666666667,1.0,0.9979166666666667,0.9993055555555556
4,0.6886363636363637,0.8136363636363637,0.6931818181818181,0.7886363636363636,0.8386363636363636,0.925,0.95,0.8590909090909091,0.95,0.6681818181818182,1.0,0.8340909090909091,0.8340909090909091
5,0.675,0.625,0.825,0.7,0.8500000000000001,0.875,0.925,0.875,0.825,0.675,1.0,0.75,0.8000000000000002
